"rank","address","partiscore_absolute","partiscore_percentile","number_of_daos","number_of_proposals","number_of_votes"
159.0,"0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247",33.21929785730093,99.99656484325793,7.0,61.0,159.0
160.0,"0x7763c067f0f4437940741674fa7f15913f8000c6",33.195203979195135,99.99654310175956,19.0,0.0,380.0
161.0,"0x79ccedbefbfe6c95570d85e65f8b0ac0d6bd017b",33.17489551586724,99.9965213602612,19.0,0.0,273.0
162.0,"0x6a0f084c85e9edf366dfdfa1df8fa8fd99b5d7e2",33.09536204835672,99.99649961876283,2.0,70.0,55.0
163.0,"0x76d2ddce6b781e66c4b184c82fbf4f94346cfb0d",33.04382735273805,99.99647787726445,37.0,0.0,308.0
164.0,"0xf196836b53e8f03e32f5186c7909acbb8b742615",32.80938278059239,99.99645613576608,36.0,1.0,367.0
165.0,"0x71f1fe91af9c6add61ab39fb0529159554fd41a7",32.746658777925425,99.99643439426772,3.0,0.0,381.0
166.0,"0x119383b0051e920d6161cee971247d625b8d69cb",32.594292829037016,99.99641265276935,17.0,0.0,256.0
167.0,"0x5e4568c4d8343052a06ec8aab1e124af08b73248",32.552021901323975,99.99639091127099,10.0,0.0,293.0
168.0,"0xab7b49bacd43bd4cfa41433d477f690bb9e1fb26",32.54159068575454,99.99636916977262,32.0,1.0,215.0
169.0,"0x3eb72a65f9322d3f30167cff9fc9fcbb23d61cfd",32.52247799225815,99.99634742827426,34.0,1.0,333.0
170.0,"0x99bcea6bb0403927fb3c038163478d5b42082fd9",32.50377496574774,99.99632568677589,23.0,0.0,286.0
171.0,"0x787c8be38e968bd0b41eaabe0b69d1c32ea09262",32.47700429328403,99.99630394527752,18.0,0.0,251.0
172.0,"0x60913b55ae54c325be3a8960536f1266aa648197",32.436752761684765,99.99628220377915,23.0,0.0,390.0
173.0,"0x4aef8b6ca98ca20087e6b0827a50868172a32afd",32.423915448383994,99.99626046228079,17.0,0.0,252.0
174.0,"0x6a93946254899a34fdcb7fbf92dfd2e4ec1399e7",32.358931672166534,99.99623872078242,13.0,76.0,73.0
175.0,"0xbb0244016a4dcb20c499b50e740083cfbb6c2f78",32.29840333890344,99.99621697928404,22.0,6.0,252.0
176.0,"0xaed5ef0aa3d1461946257d9198475a8aced910d0",32.28260519841082,99.99619523778568,20.0,0.0,277.0
177.0,"0xe7cf8fce5e83e07e56e2ebfeb7651f459c47217b",32.25887914417391,99.99617349628731,19.0,0.0,246.0
178.0,"0x770bebe5946907cee4dfe004f1648ac435a9d5bb",32.14545628576475,99.99615175478894,18.0,0.0,257.0
179.0,"0x49084125e425ed84a81e97f866043ba413e959b9",31.834061373003095,99.99613001329057,9.0,0.0,345.0
180.0,"0x99e8845841bde89e148663a6420a98c47e15ebce",31.754633676223985,99.99610827179221,20.0,0.0,242.0
181.0,"0x9c57027b1eca93093a6f446422c59c85a5a3fa52",31.616350056316794,99.99608653029385,38.0,0.0,253.0
182.0,"0xe6156d93fba1f2387fce5f50f1bb45ef51ed5f2b",31.46076982945766,99.99606478879548,17.0,2.0,212.0
183.0,"0x1d5e65a087ebc3d03a294412e46ce5d6882969f4",31.407061756301108,99.9960430472971,46.0,2.0,332.0
184.0,"0xa89f778740c6562daac0fa1e09f48e0283a39611",31.370303041640582,99.99602130579875,24.0,0.0,395.0
185.0,"0x5f4ef5c539a56291665fcca4e6b7a6446ad11cc1",31.356832182425233,99.99599956430038,27.0,0.0,282.0
186.0,"0xb4dc4c7460c58e7652cd615675a1f707ebb67e9a",31.08711691212916,99.995977822802,24.0,0.0,214.0
187.0,"0xaeaf8371bf9df3edb08bdd7d05099d49965fdf59",31.03572028870934,99.99595608130363,17.0,0.0,243.0
188.0,"0x76e4f864bbeb60bee66ff5bbcd32decaf7fbde71",30.941645816636147,99.99593433980527,22.0,0.0,195.0
189.0,"0x6c665834015f725bd27fecda2394806be3b8d6d9",30.89712351727323,99.9959125983069,1.0,94.0,59.0
190.0,"0x414643cffd2ee83a2d6413ad60bb192aeb719e09",30.79485862762124,99.99589085680853,3.0,80.0,23.0
191.0,"0x7da0e97cb78832463914392b5d414c1befa1fb01",30.728826855904938,99.99586911531017,27.0,0.0,220.0
192.0,"0x78ab05fb88d580b83ca4f90aca6056498b69747a",30.510278042886892,99.9958473738118,2.0,0.0,438.0
193.0,"0x4fa4167b3c94a80416bbc768fb919bf3ace9f8c2",30.43069183677824,99.99582563231343,43.0,7.0,288.0
